Manufacturer,"BAC, Aerospatiale",AIRBUS,AIRBUS.1,AIRBUS.2,AIRBUS.3,AIRBUS.4,AIRBUS.5,AIRBUS.6,AIRBUS.7,AIRBUS.8,AIRBUS.9,AIRBUS.10,AIRBUS.11,AIRBUS.12,AIRBUS.13,AIRBUS.14,AIRBUS.15,BOEING,BOEING.1,BOEING.2,BOEING.3,BOEING.4,BOEING.5,BOEING.6,BOEING.7,BOEING.8,BOEING.9,BOEING.10,BOEING.11,BOEING.12,BOEING.13,BOEING.14,BOEING.15,BOEING.16,BOEING.17,BOEING.18,BOEING.19,BOEING.20,DOUG.,DOUG..1,DOUG..2,DOUG..3,McDON.,McDON..1,McDON..2,McDON..3,McDON..4,DOUG..4,DOUG..5,McDON..5,LOCKHD,ILYUSHIN,TUPOLEV,TUPOLEV.1,BAe,BAe.1,BAe.2,BAe.3,FOKKER,FOKKER.1
Manufacturer,"BAC, Aerospatiale",AIRBUS,AIRBUS.1,AIRBUS.2,AIRBUS.3,AIRBUS.4,AIRBUS.5,AIRBUS.6,AIRBUS.7,AIRBUS.8,AIRBUS.9,AIRBUS.10,AIRBUS.11,AIRBUS.12,AIRBUS.13,AIRBUS.14,AIRBUS.15,BOEING,BOEING.1,BOEING.2,BOEING.3,BOEING.4,BOEING.5,BOEING.6,BOEING.7,BOEING.8,BOEING.9,BOEING.10,BOEING.11,BOEING.12,BOEING.13,BOEING.14,BOEING.15,BOEING.16,BOEING.17,BOEING.18,BOEING.19,BOEING.20,DOUG.,DOUG..1,DOUG..2,DOUG..3,McDON.,McDON..1,McDON..2,McDON..3,McDON..4,DOUG..4,DOUG..5,McDON..5,LOCKHD,ILYUSHIN,TUPOLEV,TUPOLEV.1,BAe,BAe.1,BAe.2,BAe.3,FOKKER,FOKKER.1
Type,Concorde,A300-,A310-,A319-,A320-,A321-,A321-,A330-,A330-,A330-,A340-,A340-,A340-,A340-,A350-,A350-,A380-,717-,727-,737-,737-,737-,737-,737-,737-,737-,747-,747-,747-,757-,757-,767-,767-,767-,767-,777-,777-,787-,,,,,/DOUG.,/DOUG.,/DOUG.,/DOUG.,/DOUG.,,,/DOUG.,,,,,,,,,,
Model,,600R,300,100,200,200,NEO,200,300,900NEO,200,300,500,600,900,1000,800,200,200Adv,200,300,400,500,600,700,800,100,200,400,200,300,200,200ER,300,300ER,200,300ER,900,DC 9-10,DC 9-30,DC 9-40,DC 9-50,MD-81,MD-82,MD-83,MD-87,MD-90-30,DC10-10,DC10-30,MD-11,L1011-100,Il-96M,Tu-134,Tu-154M,RJ70,RJ85,RJ100,RJ115,F70,F100
Initial service date,1969,1974,1983,1995,1988,1993,2016,1998,1994,2017,1993,1994,2002,2002,2013,2018,2005,1999,1970,1967,1967,1967,1967,1998,1997,1998,1969,1972,1988,1982,1999,1982,1982,1982,1982,1995,2004,2009,1965,1967,1968,1975,1980,1980,1980,1980,1995,1971,1973,1990,1973,1996,,1972,1982,1982,1982,1982,1988,1988
Static thrust (kN),169.3,257,231,99.7,111.2,142,147,310,300,324,139,151,235.8,249.1,374.5,431,294,97.9,71.2,71.2,89,97.9,82.3,82,89,107,208.8,236,252.4,191.3,192,213.5,257.6,223.5,273.6,342.52,513,320,54.5,62,68.9,68.9,85.6,92.7,96.5,92.7,111.21,178,236,274,187,164.6,66.7,104,27.27,31.14,31.14,31.14,61.6,61.6
Max. seats (single class),128,375,280,153,179,220,244,380,440,460,440,440,440,475,440,480,850,110,189,130,149,170,130,132,149,189,516,516,660,239,289,255,255,290,290,440,396,406,90,119,125,139,172,172,172,130,182,380,380,405,400,375,84,180,94,112,112,128,79,119
Two class seating,110,266,218,124,150,186,206,293,335,280,303,335,350,440,315,369,575,106,136,115,128,146,108,108,128,160,442,442,496,186,239,216,216,261,261,304,396,290,68,97,105,122,155,155,155,114,153,277,277,323,304,335,68,154,70,85,100,115,70,107
Max. take-off weight (kg),185000,170500,150000,64000,73500,89000,97000,230000,217000,251000,257000,271000,365000,365000,283000,322000,575000,51710,95028,52390,56470,62820,52390,65090,69400,78220,340195,377840,396830,115900,122470,136078,175540,156489,181437,242670,299370,254000,35245,49000,51710,54420,63500,67812,72580,63500,70760,190854,263636,283720,211374,270000,47000,100000,40823,42184,44225,46040,36740,43090
Max. Payload (kg),13380,41100,33300,17390,19190,22780,25500,36400,48400,46000,49400,48150,51635,63000,53000,67000,84000,12220,18597,15445,16030,17740,15530,9800,11610,14690,69625,62820,61186,25690,29470,34065,35652,39140,45541,54635,68570,53000,9570,14000,15510,15265,17953,18802,18721,17619,17350,48330,48330,55566,33355,58000,8200,18000,9072,11749,12429,11265,9302,11108
Max. payload/Max. T/O ratio,0.0723,0.24105571847507332,0.222,0.27171875,0.26108843537414966,0.25595505617977526,0.26,0.1582608695652174,0.22304147465437787,0.183,0.19221789883268484,0.17767527675276754,0.14146575342465753,0.1726027397260274,0.187,0.2,0.1574074074074074,0.23631792690001935,0.1957002146735699,0.2948081694979958,0.283867540286878,0.28239414199299584,0.2964306165298721,0.15056076202181595,0.16729106628242074,0.18780363078496548,0.2046620320698423,0.16626085115392758,0.1541869314315954,0.22165660051768765,0.24063035845513187,0.2503343670541895,0.20309900877292925,0.2501134265028213,0.25100172511670715,0.22514113817117898,0.2,0.2,0.27152787629450986,0.2857142857142857,0.29994198414233225,0.2805034913634693,0.2827244094488189,0.2772665604907686,0.2579360705428493,0.27746456692913385,0.24519502543810062,0.253230217862869,0.18332094251164485,0.19584801917383335,0.15780086481781108,0.21481481481481482,0.17446808510638298,0.18,0.22222766577664552,0.27851792148681964,0.28104013566986996,0.24467854039965248,0.2531845400108873,0.2577860292411232
Wing Area (mÂ²),358,260,219,122.4,122.4,122.4,128,363.1,363.1,372,363.1,363.1,437.3,437.3,442,464,845,92.97,157.9,91.04,91.04,91.04,91.04,124.6,124.6,124.6,511,511,525,185.25,185.25,283.3,283.3,283.3,283.3,427.8,436,377,86.77,92.97,92.97,92.97,112.3,112.3,112.3,112.3,112.3,367.7,367.7,338.9,321.5,391.6,127.3,201.45,77.3,77.3,77.3,77.3,93.5,93.5
Wing Span (m),25.6,44.84,43.89,33.91,33.91,33.91,35.8,58,58,64,58,58,61.2,61.2,65,65,79.8,28.4,32.92,28.35,28.9,28.9,28.9,34.3,34.3,34.3,59.64,59.64,62.3,38.05,38.05,47.57,47.57,47.57,47.57,60.9,64,60,27.25,28.47,28.47,28.47,32.87,32.87,32.87,32.87,32.87,50.4,50.4,51.77,47.35,55.57,29,37.55,26.21,26.21,26.21,26.21,28.08,28.08
Max. power load (kg/kN),273.26440177252584,331.71206225680936,324.6753246753247,320.962888665998,330.4856115107914,313.38028169014086,313.38,370.96774193548384,361.6666666666667,463,462.23021582733816,448.6754966887417,386.98049194232397,366.3187474909675,379,372,459.18367346938777,264.09601634320734,444.88764044943815,367.9073033707865,317.24719101123594,320.8375893769152,318.28675577156747,396.890243902439,389.8876404494382,365.5140186915888,407.32159961685824,400.2542372881356,393.0566561014263,302.9273392577104,318.9322916666667,318.6838407494145,340.72204968944095,350.0872483221477,331.57346491228066,354.24208805325236,353.86524822695037,,323.348623853211,395.16129032258067,375.2539912917271,394.9201741654571,370.91121495327104,365.7605177993527,376.0621761658031,342.5026968716289,318.13685819620537,357.40449438202245,372.3672316384181,345.1581508515815,376.7807486631016,410.0850546780073,352.3238380809595,320.5128205128205,374.24825815914926,338.6640976236352,355.04977520873473,369.6210661528581,298.2142857142857,349.7564935064935
Max. wing load (kg/m2),516.7597765363129,655.7692307692307,684.931506849315,522.875816993464,600.4901960784314,727.1241830065359,795,633.4343156155329,597.6315064720462,674,707.7939961443128,746.3508675296061,834.667276469243,834.667276469243,640,728,660.954712362301,556.2009250295795,601.8239392020266,575.4613356766256,620.2768014059753,690.0263620386643,575.4613356766256,522.3916532905297,556.9823434991974,627.7688603531301,665.7436399217221,739.412915851272,755.8666666666667,625.6410256410256,661.1066126855601,480.3318037416166,619.6258383339216,552.3791034239322,640.4412283798093,567.2510518934081,699.7896213183731,673,406.18877492220815,527.0517371195009,556.2009250295795,585.350112939658,565.4496883348174,603.846838824577,646.3045414069456,565.4496883348174,630.0979519145147,519.0481370682622,716.9866739189557,837.179108881676,657.461897356143,689.4790602655771,369.20659858601726,496.4010920824026,528.111254851229,545.7179818887452,572.1216041397154,595.601552393273,392.94117647058823,460.85561497326205
Thrust/Weight Ratio,0.372,0.30730507202836294,0.31396534148827726,0.3175968399592253,0.30844549848481695,0.3252814715550516, 0.29,0.2747861543234499,0.28185290097098326,0.26,0.2205325305314596,0.2271949324997837,0.2634158602488375,0.27827349782860655,0.27,0.28,0.2219956960018122,0.38598385767407073,0.22912931247432755,0.2770719641892269,0.32131663281108547,0.31772087361232404,0.32026717208951366,0.2568387627325076,0.26145173277870315,0.2788861547620071,0.25026121688707675,0.2546801250004586,0.2593437806029707,0.3365057753925094,0.3196189343255504,0.31986811425641093,0.29917875663585103,0.29117541319501056,0.3074335252112935,0.2877602707930676,0.3,0.253,0.31525354266168565,0.25796251222201416,0.2716474749105564,0.2581200096954221,0.2748280318171238,0.27869820339773693,0.27106368479759685,0.2976233475402731,0.3204180734117826,0.28521409435760314,0.27375340933191966,0.295333599780289,0.2705467292217001,0.24857477252992033,0.2893270002385755,0.3180428134556575,0.27237748462988687,0.3009967690693632,0.2871056575787907,0.275787309001347,0.341823997265408,0.2914507695412181
Take off distance (m),3600,2280,2290,1750,2180,2000,2210,2470,2320,2300,2790,3000,3100,3100,2600,2600,3000,1900,3033,1829,1939,2222,1832,2500,2600,2800,3050,3190,3310,2226,2550,1770,2670,2545,2926,2135,3050,2400,1615,1777,2091,2362,2195,2274,2551,1865,2135,2625,2996,2926,3292,3350,2400,2100,1440,1646,1829,1829,1296,1856
Long range cruise Speed (kt),1165,456,458,446,448,450,450,470,465,496,475,475,470,470,488,488,488,438,467,420,429,430,429,450,452,452,484,484,490,459,461,459,459,460,459,476,482,488,431,431,440,441,439,439,439,439,437,490,490,M0.81,483,459,432,459,356,356,371,371,401,414
LRC Fuel consumption (kg/h),20500,4300,3730,1980,2100,2100,2400,4400,4700,5200,5400,6500,8000,8400,5800,6100,11000,	2200,4309,2827,2250,2377,2100,1932,2070,2186.84,10660,10700,9950,3470,3098,4500,4500,4800,4940,6080,7500,5600,2304,2100,2280,2650,2560,2560,2518,2458,,6920,7313,7060,6895,6755,1635,3650,1635,1744,1944,2028,1475,1716
Max. fuel (+p) Range (nm),4488,4698,5076,4158,3672,2602,4000,6370,7046,7200,8834,8089,9000,7800,8300,8900,8000,1375,2800,2887,3187,2830,3450,3229,3245,2927,7030,7392,8310,4265,3980,4800,6500,5354,6100,4820,7370,7565,1311,1922,1790,1914,2851,2668,3147,2958,2267,5750,6400,8234,4685,6195,1550,3564,1613,1454,1138,1328,1080,1290
Fuel/pax/nm (kg),0.34,0.05294172932330827,0.052937913377426926,0.05526315789473685,0.0442962962962963,0.046455595380326564,0.0235,0.04595185409422367,0.046955887230514096,0.034,0.050237758469724524,0.0472288905124726,0.055420168067226896,0.04602727272727272,0.4523,0.472,0.3865,0.0683704974271012,0.11012254901960784,0.06324485125858123,0.03410361842105263,0.03952308472856418,0.06083877995642701,0.053361885859535496,0.04803086878323428,0.04647048671039006,0.06078506787330317,0.057492168465019144,0.05003577919127669,0.05401881720430107,0.051,0.03054549114331723,0.051175606171932404,0.04246869102762052,0.04723752128565347,0.0394,0.0332,0.0341,0.09237447839547719,0.08597041685342896,0.07876218736752862,0.07393442622950819,0.05447157825261942,0.054939417781274584,0.05475619504396483,0.07180630750569511,0.04829418947066006,0.04800992779783394,0.07791128392329343,0.05426236006643552,0.06731186685962373,0.052020767831544454,0.10901328273244781,0.06961131560062042,0.07913495316159251,0.06617151911269559,0.058240574506283664,0.04340555474770976,0.09810846560846562,0.0603636890531044
Seats x Range (seats.nm),493680,1064000,937400,235600,405000,502200,824000,1866410,1507500,2016000,2227050,2395250,2975000,3300000,2614500,3284100,4600000,145750,326400,218500,364800,394200,183600,344628,409216,463520,2210000,2873000,3521600,744000,951220,695520,1469880,1049220,1503360,1807500,2918520,2193850,89148,167325,176925,183000,242420,317750,387810,270408,348075,1108000,1488321,2192201,1050320,2075325,105400,431970,136640,151470,167100,206310,75600,138030
Fuel(l) per seat per 100km,16.7,0,0,2.95,2.43,2.50 ,1.98,2.9,3.11,2.48,3.25,3.49,3.24,3.12,2.39,2.58,3.16,0,0,3.26,3.14,3.21,3.18,3.15,2.71,2.44,3.47,3.34,3.16,3.02,2.40,3.36,3.34,2.56,3.09,3.01,2.9,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
